sub_area,area_m,popul,young_all,work_all,ekder_all,green_zone_part,indust_part,healthcare_centers,university_top_20,thermal_power_plant,incineration,oil_chemistry,radiation,railroad_terminal,big_market,nuclear_reactor,avg_houseprice
Golovinskoe,8841267.45,100846,0.102592071,0.629623386,0.267784543,0.13,0.31,2,0,0,0,0,0,0,0,1,6283254.44
Hamovniki,10071560.22,102726,0.144734537,0.594805599,0.260459864,0.05,0,5,1,0,0,0,1,0,0,0,20116565.54
Horoshevo-Mnevniki,18036436.51,166803,0.148762312,0.603112654,0.248125034,0.23,0.11,2,0,1,0,0,1,0,0,0,8147077.97
Horoshevskoe,8568431.19,56535,0.160148581,0.60719908,0.232652339,0.06,0.24,3,0,0,0,0,0,0,0,0,10719562.88
Hovrino,5264733.75,80791,0.140560211,0.58952111,0.269918679,0.18,0.05,0,0,0,0,0,0,0,0,0,8546164.14
Ivanovskoe,10207215.1,122862,0.105150494,0.631700607,0.263148899,0.51,0,1,0,0,0,0,1,0,0,0,5986090.85
Izmajlovo,15045565.2,102828,0.106858054,0.63697631,0.256165636,0.64,0.01,6,0,0,0,0,1,0,0,0,9435211.79
Jakimanka,4800968.27,26578,0.136917752,0.626156972,0.236925277,0.29,0,1,1,0,0,0,0,0,0,0,12386512.14
Jasenevo,24813850.39,174831,0.134318285,0.601558076,0.264123639,0.68,0.04,1,0,0,0,0,1,0,0,0,8282320.08
Juzhnoe Butovo,26155137.04,178264,0.172822331,0.680838532,0.146339137,0.14,0.04,1,0,0,0,0,0,0,0,0,6811091.62
Juzhnoe Medvedkovo,3879802.19,81980,0.127006587,0.64397414,0.229019273,0.16,0.23,0,0,0,0,0,0,0,0,0,6517949.87
Juzhnoe Tushino,7887684.17,104434,0.123580443,0.629383151,0.247036406,0.22,0.19,0,0,0,0,0,0,0,0,0,7185202.17
Juzhnoportovoe,4579593.03,71715,0.131883149,0.61819703,0.249919822,0.04,0.22,4,0,0,0,0,0,0,1,0,8902786.3
Kapotnja,8097031.58,31167,0.1182982,0.672987455,0.208714345,0.11,0.41,0,0,0,0,1,0,0,1,0,5268274.31
Kon'kovo,7811375.43,153248,0.107459804,0.652941637,0.239598559,0.13,0.14,3,0,0,0,0,1,0,0,0,8995446
Koptevo,4787424.27,96959,0.143369878,0.609742262,0.24688786,0.04,0.12,4,0,0,0,0,0,0,0,0,7095220.93
Kosino-Uhtomskoe,14883622.34,72131,0.193453578,0.682674578,0.123871844,0.02,0.16,1,0,0,1,0,1,0,0,0,6403857.43
Kotlovka,3998216.27,64317,0.12879954,0.644868386,0.226332074,0.26,0.01,0,0,0,0,0,0,0,0,0,7300720.42
Krjukovo,10842309.74,85219,0.143090156,0.681937127,0.174972717,0.06,0.16,2,0,0,0,0,0,0,0,0,5954844.88
Krylatskoe,12164477.11,78507,0.129606277,0.619307832,0.25108589,0.3,0,2,0,0,0,0,0,0,0,0,12567092.28
Kuncevo,52351766.54,142462,0.13887212,0.600518033,0.260609847,0.07,0.04,0,0,0,0,0,1,0,0,0,9190094.19
Kurkino,7792845.49,21155,0.260694871,0.621271567,0.118033562,0.53,0,0,0,0,0,0,0,0,0,0,13538678.44
Kuz'minki,7984443.57,142243,0.115330807,0.659512243,0.22515695,0.37,0,1,0,0,0,0,1,0,0,0,6148009.05
Lefortovo,8993640.42,89971,0.119794156,0.654599815,0.225606029,0.07,0.31,5,1,0,0,0,1,0,0,0,7402324.87
Levoberezhnoe,6424173.86,51455,0.113419493,0.618637645,0.267942863,0.22,0.06,0,0,0,0,0,1,0,0,0,8795050.51
Lianozovo,5646405.14,79576,0.125904795,0.644603901,0.229491304,0.26,0.1,3,0,0,0,0,1,0,0,0,6827314.81
Ljublino,17881913.61,165727,0.142710602,0.649417415,0.207871982,0.26,0.13,3,0,0,0,0,1,0,1,0,6278500.34
Lomonosovskoe,3326418.74,83844,0.12324078,0.587304995,0.289454225,0.05,0,1,0,0,0,0,0,0,0,0,13397963.04
Losinoostrovskoe,5361326.95,80917,0.112596859,0.606337358,0.281065783,0.2,0.04,1,0,0,0,0,1,0,0,0,7385352.75
Marfino,2104404.82,26943,0.124819062,0.58980069,0.285380247,0.03,0.09,1,0,0,0,0,0,0,0,0,6754174.59
Mar'ino,11754772.16,247469,0.164432717,0.651758402,0.183808881,0.19,0.09,5,0,0,0,0,0,0,0,0,7435449.51
Matushkino,4708040.47,38075,0.146342745,0.588653972,0.265003283,0.27,0.31,0,0,0,0,0,0,0,0,0,5031325.86
Meshhanskoe,4512002.45,57999,0.102053484,0.577630649,0.320315868,0.13,0.02,0,1,0,0,0,0,0,0,0,11546972.26
Metrogorodok,27456466.68,36154,0.131133485,0.624356918,0.244509598,0.85,0.09,0,0,1,0,0,0,0,0,0,5893793.1
Mitino,12583535.69,178473,0.160041015,0.674505387,0.165453598,0.19,0.07,1,0,0,0,0,0,0,0,0,8800282.9
Molzhaninovskoe,15816236.43,3521,0.153933542,0.585345072,0.260721386,0,0,0,0,0,0,0,0,0,0,0,2766666.67
Moskvorech'e-Saburovo,10046857.44,76156,0.095803351,0.688717895,0.215478754,0.07,0.25,3,1,0,0,0,1,0,0,1,7565008.59
Mozhajskoe,16861532.79,132349,0.156593552,0.625679076,0.217727372,0.07,0.13,1,0,0,0,0,1,0,0,0,7199450.43
Nagatino-Sadovniki,7750777.82,76284,0.133291385,0.604058518,0.262650097,0.09,0.31,2,0,0,0,0,1,0,0,0,7430191.23
Nagatinskij Zaton,9589336.91,115352,0.136339205,0.608520008,0.255140786,0.37,0.05,1,0,0,0,0,0,0,0,0,8377018.06
Nagornoe,5293464.97,77878,0.136110326,0.640514651,0.223375022,0.02,0.2,3,0,0,0,0,0,0,0,0,9534148.5
Nekrasovka,11391678.48,19940,0.173470411,0.668555667,0.157973922,0.06,0.24,0,0,0,1,0,0,0,0,0,5512430.8
Nizhegorodskoe,7506452.02,43795,0.120812878,0.677246261,0.201940861,0.01,0.49,0,0,1,0,0,1,0,0,0,6043626.23
Novogireevo,4395332.78,94561,0.143008217,0.601812587,0.255179196,0.06,0.04,2,0,0,0,0,1,0,0,0,6168623.71
Novokosino,3707575.21,103746,0.115088775,0.705164536,0.179746689,0.03,0.04,1,0,0,0,0,0,0,0,0,7356115.11
Novo-Peredelkino,8591335.05,111023,0.110283455,0.732019491,0.157697054,0.06,0.03,3,0,0,0,0,0,0,0,0,5980323.94
Obruchevskoe,6050064.57,78616,0.119746616,0.654383332,0.225870052,0.17,0.09,2,1,0,0,0,1,0,0,0,13850878.3
Ochakovo-Matveevskoe,17526506.21,118843,0.135456022,0.661965787,0.202578191,0.13,0.31,0,0,1,0,0,0,0,0,0,7564973.91
Orehovo-Borisovo Juzhnoe,7128794.34,145576,0.093387646,0.718765456,0.187846898,0.08,0.1,1,0,0,0,0,0,0,1,0,6774591.99
Orehovo-Borisovo Severnoe,7462269.56,129207,0.07800661,0.649043782,0.272949608,0.39,0.01,0,0,0,0,0,0,0,0,0,6677480.56
Ostankinskoe,12505755.08,61396,0.118541925,0.610528373,0.270929702,0.4,0.05,3,0,0,0,0,0,0,0,0,8687360.23
Otradnoe,10053051.74,175518,0.121924817,0.638868948,0.239206235,0.1,0.3,1,0,0,1,0,1,0,0,0,7194399.76
Pechatniki,18445806.5,83369,0.124038911,0.616452158,0.25950893,0.03,0.43,0,0,0,0,0,1,0,0,0,5684482.81
Perovo,9946335.11,139322,0.099043941,0.658869382,0.242086677,0.07,0.23,3,0,1,0,1,1,0,0,0,6074523.51
Pokrovskoe Streshnevo,13089795.79,53786,0.128862529,0.616312795,0.254824676,0.18,0.15,4,0,0,0,0,1,0,0,0,8969282.85
Preobrazhenskoe,5586342.59,83502,0.088440995,0.622152763,0.289406242,0.09,0.04,3,0,0,0,0,0,0,0,0,6457894.74
Presnenskoe,11638050.15,123280,0.120911746,0.611267034,0.26782122,0.07,0.04,2,1,0,0,0,1,0,0,0,14032071.42
Prospekt Vernadskogo,4695913.35,61039,0.115155884,0.680777863,0.204066253,0.26,0,1,1,0,0,0,0,0,0,0,12971689.66
Ramenki,18800000.1,125111,0.13530385,0.631527204,0.233168946,0.17,0.02,5,1,0,0,0,1,0,0,0,12470891.71
Rjazanskij,6377883.08,101982,0.125924183,0.610058638,0.26401718,0.02,0.33,0,0,0,0,0,0,0,0,0,6844912.8
Rostokino,3497818.59,37502,0.135299451,0.608954189,0.25574636,0.15,0.21,3,1,0,0,0,0,0,0,0,7681693.43
Savelki,7759253.98,32071,0.127841352,0.622369119,0.249789529,0.28,0.15,3,0,0,0,0,0,0,0,0,5324129.52
Savelovskoe,2641243.5,57995,0.147995517,0.610483662,0.241520821,0.02,0.05,2,0,0,0,0,0,0,0,0,8206249.41
Severnoe,10416574.64,27992,0.187124893,0.698020863,0.114854244,0.15,0.2,0,0,0,0,0,0,0,0,0,6917222.22
Severnoe Butovo,8889466.75,90114,0.117207093,0.72430477,0.158488137,0.58,0,2,0,0,0,0,0,0,0,0,7686996.2
Severnoe Izmajlovo,4190070.55,85083,0.13805343,0.584629127,0.277317443,0.05,0.03,0,0,0,0,0,0,0,0,0,5944907.98
Severnoe Medvedkovo,5725729.26,122873,0.158594647,0.627167889,0.214237465,0.14,0.18,1,0,0,0,0,1,0,0,0,6949813.87
Severnoe Tushino,9249237.17,156377,0.146831056,0.600107433,0.253061512,0.37,0,3,0,0,0,0,0,0,0,0,7895547.73
Shhukino,7963518.82,105663,0.138061573,0.613980296,0.247958131,0.13,0.16,3,0,0,0,0,1,0,0,1,9298412.54
Silino,9780189.55,37807,0.133916999,0.596397493,0.269685508,0.37,0.14,0,0,0,0,0,0,0,0,0,6078500
Sokol,3496889.65,57107,0.119197296,0.639081023,0.24172168,0.07,0.17,0,0,0,0,0,0,0,0,0,9599378.38
Sokolinaja Gora,7905261.32,85956,0.11223184,0.643782866,0.243985295,0.01,0.32,5,1,0,0,0,1,0,0,0,7421747.4
Sokol'niki,10320473.23,57405,0.098980925,0.609755248,0.291263827,0.52,0.04,3,0,0,0,0,0,0,0,0,11751704.83
Solncevo,11324091.93,113897,0.142997621,0.661422162,0.195580217,0.08,0.37,2,0,0,0,0,0,0,0,0,5585877.57
Staroe Krjukovo,4389199.09,28537,0.147282475,0.580894978,0.271822546,0.03,0.13,0,0,0,0,0,0,0,0,0,4848811.6
Strogino,16751119.46,155427,0.128697073,0.63000637,0.241296557,0.34,0.04,1,0,0,0,0,0,0,0,0,9184445.98
Sviblovo,4441296.2,60315,0.12776258,0.667976457,0.204260963,0.14,0.18,1,0,0,0,0,0,0,0,0,8218231.73
Taganskoe,8087656.38,116742,0.126047181,0.610345891,0.263606928,0.05,0.01,3,1,0,0,0,1,0,0,0,10153920
Tekstil'shhiki,4808269.83,101708,0.128092185,0.623235144,0.248672671,0.11,0.12,1,0,0,0,0,1,0,0,0,6605065.53
Teplyj Stan,8392316.21,130396,0.119183104,0.588791067,0.292025829,0.43,0,1,0,0,0,0,1,0,1,0,8563557.53
Timirjazevskoe,10508030.1,81887,0.136834907,0.63538779,0.227777303,0.33,0.02,2,0,0,0,0,1,0,0,0,7474839.25
Troickij okrug,16315230.22,39873,0.159581672,0.602136784,0.238281544,0.38,0.08,0,0,0,0,0,0,0,0,0,5162510.33
Troparevo-Nikulino,11275073.5,112804,0.12931279,0.604889898,0.265797312,0.33,0,1,1,0,0,0,1,0,0,0,11448674.37
Veshnjaki,10518366.87,118945,0.098608601,0.622405313,0.278986086,0.33,0.01,2,0,0,0,0,0,0,0,0,5804444.57
Vnukovo,15319902.35,21040,0.14168251,0.639591255,0.218726236,0.05,0.04,1,0,0,0,0,0,0,0,0,5024090.91
Vojkovskoe,5333221.26,64931,0.126903944,0.589333292,0.283762764,0.07,0.17,2,0,0,0,0,0,0,0,0,9586779.46
Vostochnoe,3284350.01,12327,0.117141235,0.654498256,0.228360509,0.08,0.39,0,0,0,0,0,0,0,0,0,7275000
Vostochnoe Degunino,3875439.35,94564,0.147392242,0.624000677,0.228607081,0.1,0.22,1,0,0,0,0,0,0,0,0,6647743.39
Vostochnoe Izmajlovo,3799999.35,76308,0.137993395,0.639382502,0.222624102,0.23,0.15,4,0,0,0,0,1,0,0,0,5584995.57
Vyhino-Zhulebino,15094874.77,219609,0.101730803,0.638325387,0.259943809,0.3,0.03,3,0,0,0,0,1,0,0,0,6530211.24
Zapadnoe Degunino,7632939.81,78810,0.152214186,0.648877046,0.198908768,0.05,0.44,0,0,0,0,0,1,0,0,0,5310922.67
Zjablikovo,4602089.66,130229,0.139915073,0.631433859,0.228651069,0.11,0,0,0,0,0,0,0,0,0,0,6644779.53
Zjuzino,5391434.26,123000,0.116398374,0.640934959,0.242666667,0.08,0,0,2,0,0,0,1,0,0,0,8263898.07
Basmannoe,8398460.62,108171,0.123582106,0.629031811,0.247386083,0.02,0.04,4,2,0,0,0,1,1,0,0,11490873.52
Butyrskoe,5027634,68630,0.138525426,0.627203847,0.234270727,0.05,0.46,1,0,0,0,0,0,1,0,0,7662112.21
Dorogomilovo,7798452.19,67710,0.084758529,0.641160833,0.274080638,0.2,0.08,1,0,1,0,0,1,1,0,0,12603389.29
Krasnosel'skoe,4996777.4,47245,0.1200127,0.641634035,0.238353265,0.01,0.25,3,0,0,0,0,0,1,0,0,11301007.84
Mar'ina Roshha,4684027.8,65972,0.108379312,0.65894622,0.232674468,0.02,0.21,3,0,0,0,0,0,1,0,0,8684615.84
Tverskoe,7307410.57,75377,0.149541637,0.582684373,0.267773989,0.07,0,3,2,0,0,0,1,1,0,0,12841249.7
Zamoskvorech'e,4280227.1,55590,0.136013672,0.618456557,0.245529772,0.02,0,2,3,0,0,0,0,1,0,0,16218682.82
